MemberID,Order,Date,ItemName
M09736,6468572,22-09-2014 22:45,Other Sauces
M09736,6468572,22-09-2014 22:45,Cashews
M09736,6468572,22-09-2014 22:45,Other Dals
M09736,6468572,22-09-2014 22:45,Namkeen
M09736,6468572,22-09-2014 22:45,Sugar
M09736,6468572,22-09-2014 22:45,Banana
M09736,6468572,22-09-2014 22:45,Sugar Cubes
M09736,6468572,22-09-2014 22:45,Other Sweets
M09736,6468572,22-09-2014 22:45,Other Dals
M09736,6468572,22-09-2014 22:45,Other Rice Products
M09736,6468572,22-09-2014 22:45,Other Rice Products
M09736,6468572,22-09-2014 22:45,Namkeen
M09736,6486475,28-09-2014 14:06,Utensil Scrub Pads
M09736,6486475,28-09-2014 14:06,Other Rice Products
M09736,6486475,28-09-2014 14:06,Toor Dal
M09736,6486475,28-09-2014 14:06,Buns & Pavs
M09736,6486475,28-09-2014 14:06,Cakes
M09736,6486475,28-09-2014 14:06,Other Dals
M09736,6486475,28-09-2014 14:06,Boiled Rice
M09736,6504964,14-09-2014 23:06,Urad Dal
M09736,6504964,14-09-2014 23:06,Boiled Rice
M09736,6504964,14-09-2014 23:06,Jaggery
M09736,6504964,14-09-2014 23:06,Other Dals
M09736,6504964,14-09-2014 23:06,Other Dals
M09736,6504964,14-09-2014 23:06,Raisins
M09736,6504964,14-09-2014 23:06,Chips
M09736,6504964,14-09-2014 23:06,Other Dals
M09736,6504964,14-09-2014 23:06,Almonds
M09736,6529569,09/04/2014 22:56,Sugar
M09736,6529569,09/04/2014 22:56,Jaggery
M09736,6529569,09/04/2014 22:56,Root Vegetables
M09736,6529569,09/04/2014 22:56,Cakes
M09736,6529569,09/04/2014 22:56,Urad Dal
M09736,6529569,09/04/2014 22:56,Namkeen
M09736,6529569,09/04/2014 22:56,Other Vegetables
M09736,6529569,09/04/2014 22:56,Moong Dal
M09736,6529569,09/04/2014 22:56,Banana
M09736,6529569,09/04/2014 22:56,Other Dals
M09736,6529569,09/04/2014 22:56,Raisins
M09736,6529569,09/04/2014 22:56,Toor Dal
M09736,6529569,09/04/2014 22:56,Cashews
M09736,6529569,09/04/2014 22:56,Cashews
M09736,6529569,09/04/2014 22:56,Healthy Snacks
M09736,6549521,09/09/2014 23:10,Banana
M09736,6549521,09/09/2014 23:10,Cashews
M09736,6549521,09/09/2014 23:10,Other Rice Products
M09736,6549521,09/09/2014 23:10,Cashews
M09736,6549521,09/09/2014 23:10,Cashews
M09736,6549521,09/09/2014 23:10,Raw Peanuts
M09736,6549521,09/09/2014 23:10,Sugar Cubes
M09736,6562518,26-08-2014 22:55,Other Rice Products
M09736,6562518,26-08-2014 22:55,Moong Dal
M09736,6562518,26-08-2014 22:55,Mosquito Repellent
M09736,6562518,26-08-2014 22:55,Other Rice Products
M09736,6562518,26-08-2014 22:55,Boiled Rice
M09736,6562518,26-08-2014 22:55,Other Dals
M09736,6562518,26-08-2014 22:55,Whole Spices
M09736,6562518,26-08-2014 22:55,Sugar
M09736,6562518,26-08-2014 22:55,Sugar Cubes
M09736,6562518,26-08-2014 22:55,Whole Spices
M09736,6562518,26-08-2014 22:55,Urad Dal
M09736,6562518,26-08-2014 22:55,Whole Spices
M09736,6562518,26-08-2014 22:55,Soya Products
M09736,6562518,26-08-2014 22:55,Beans
M09736,6562518,26-08-2014 22:55,Other Dals
M09736,6562518,26-08-2014 22:55,Other Vegetables
M09736,6596905,17-08-2014 22:50,Moong Dal
M09736,6596905,17-08-2014 22:50,Namkeen
M09736,6596905,17-08-2014 22:50,Beans
M09736,6596905,17-08-2014 22:50,Health Drinks
M09736,6596905,17-08-2014 22:50,Banana
M09736,6596905,17-08-2014 22:50,Liquid Soaps & Bars
M09736,6596905,17-08-2014 22:50,Sugar Cubes
M09736,6596905,17-08-2014 22:50,Toor Dal
M09736,6596905,17-08-2014 22:50,Washing Bars
M09736,6596905,17-08-2014 22:50,Root Vegetables
M09736,6596905,17-08-2014 22:50,Other Dals
M09736,6596905,17-08-2014 22:50,Boiled Rice
M09736,6596905,17-08-2014 22:50,Other Rice Products
M09736,6596905,17-08-2014 22:50,Other Rice Products
M09736,6612806,22-08-2014 19:22,Chips
M09736,6612806,22-08-2014 19:22,Namkeen
M09736,6612806,22-08-2014 19:22,Namkeen
M09736,6612806,22-08-2014 19:22,Root Vegetables
M09736,6612806,22-08-2014 19:22,Sugar
M09736,6612806,22-08-2014 19:22,Namkeen
M09736,6612806,22-08-2014 19:22,Ghee
M09736,6612806,22-08-2014 19:22,Banana
M09736,6612806,22-08-2014 19:22,Healthy Snacks
M09736,6624000,08/06/2014 08:14,Organic F&V
